Date,Open,High,Low,Close,Volume,Adj Close
2016-05-13,45.75,45.830002,45.23,45.349998,10228100,45.349998
2016-05-12,45.549999,45.900002,45.490002,45.830002,10452100,45.830002
2016-05-11,45.73,45.880001,45.450001,45.459999,8664200,45.459999
2016-05-10,45.439999,45.84,45.419998,45.75,8931400,45.75
2016-05-09,45.32,45.50,45.169998,45.240002,8002700,45.240002
2016-05-06,45.060001,45.41,44.919998,45.32,8524300,45.32
2016-05-05,44.93,45.490002,44.869999,45.060001,8724300,45.060001
2016-05-04,44.720001,45.110001,44.509998,44.98,9273900,44.98
2016-05-03,44.869999,45.07,44.650002,44.84,10330700,44.84
2016-05-02,44.57,45.189999,44.57,44.98,12513200,44.98
2016-04-29,44.529999,44.860001,44.50,44.799999,11676100,44.799999
2016-04-28,44.50,44.900002,44.459999,44.630001,10732100,44.630001
2016-04-27,44.639999,44.860001,44.25,44.68,11190700,44.68
2016-04-26,44.919998,44.959999,44.43,44.529999,13919500,44.529999
2016-04-25,44.50,44.720001,44.380001,44.709999,11134400,44.709999
2016-04-22,43.790001,44.66,43.790001,44.540001,25051600,44.540001
2016-04-21,44.259998,44.279999,42.869999,43.66,36985500,43.66
2016-04-20,45.34,45.380001,44.060001,44.369999,40284900,44.369999
2016-04-19,46.310001,46.619999,46.150002,46.599998,14182600,46.599998
2016-04-18,46.099998,46.279999,45.82,46.220001,11482300,46.220001
2016-04-15,45.82,46.16,45.68,46.099998,12611200,46.099998
2016-04-14,46.060001,46.220001,45.75,45.830002,12964300,45.830002
2016-04-13,46.77,46.779999,45.82,46.040001,13220800,46.040001
2016-04-12,46.41,46.759998,46.349998,46.650002,11142600,46.650002
2016-04-11,46.900002,47.130001,46.41,46.439999,11853400,46.439999
2016-04-08,46.439999,46.98,46.439999,46.869999,11858300,46.869999
2016-04-07,46.50,46.580002,46.16,46.360001,9256300,46.360001
2016-04-06,46.57,46.73,46.380001,46.709999,9119600,46.709999
2016-04-05,46.619999,46.810001,46.439999,46.529999,10640300,46.529999
2016-04-04,46.84,46.93,46.50,46.889999,10622300,46.889999
2016-04-01,46.139999,46.869999,46.110001,46.830002,14913600,46.830002
2016-03-31,46.549999,46.880001,46.32,46.389999,15349700,46.389999
2016-03-30,46.630001,46.73,46.330002,46.580002,14307700,46.580002
2016-03-29,45.860001,46.509998,45.810001,46.48,24962500,46.48
2016-03-28,45.560001,45.93,45.509998,45.799999,13283700,45.799999
2016-03-24,45.450001,45.599998,45.189999,45.580002,10873300,45.580002
2016-03-23,45.400002,45.709999,45.349998,45.459999,9249600,45.459999
2016-03-22,45.549999,45.73,45.389999,45.50,13744500,45.50
2016-03-21,45.419998,45.869999,45.360001,45.669998,9728300,45.669998
2016-03-18,45.84,45.869999,45.389999,45.599998,23356400,45.599998
2016-03-17,45.049999,45.91,44.970001,45.77,24059600,45.77
2016-03-16,45.049999,45.169998,44.549999,45.049999,15292600,45.049999
2016-03-15,45.080002,45.560001,45.07,45.240002,13686300,45.240002
2016-03-14,45.040001,45.419998,45.040001,45.290001,13206700,45.290001
2016-03-11,45.00,45.25,44.93,45.200001,16129300,45.200001
2016-03-10,44.84,45.259998,44.68,45.23,28908600,44.879999
2016-03-09,44.389999,44.830002,44.290001,44.810001,18466600,44.463251
2016-03-08,43.919998,44.470001,43.810001,44.32,18900200,43.977041
2016-03-07,43.91,44.139999,43.860001,44.009998,10695300,43.669439
2016-03-04,43.779999,44.150002,43.68,44.110001,13691500,43.768667
2016-03-03,43.610001,43.98,43.540001,43.959999,13134800,43.619826
2016-03-02,43.470001,43.77,43.419998,43.77,12856300,43.431298
2016-03-01,43.380001,43.689999,43.169998,43.689999,12358300,43.351915
2016-02-29,43.169998,43.610001,42.919998,43.130001,15049800,42.796251
