Date,Open,High,Low,Close,Volume,Adj Close
2016-04-20,47.549999,47.889999,47.41,47.560001,1148400,47.560001
2016-04-19,47.700001,47.900002,47.650002,47.779999,1516200,47.779999
2016-04-18,46.490002,46.849998,46.470001,46.77,1251700,46.77
2016-04-15,46.400002,46.630001,46.360001,46.599998,1128400,46.599998
2016-04-14,46.52,46.549999,46.16,46.169998,1352400,46.169998
2016-04-13,46.419998,46.50,46.049999,46.240002,1597200,46.240002
2016-04-12,46.110001,46.240002,45.82,46.200001,897900,46.200001
2016-04-11,45.869999,46.119999,45.740002,45.740002,1138300,45.740002
2016-04-08,45.619999,45.75,45.470001,45.59,699000,45.59
2016-04-07,45.57,45.830002,45.34,45.509998,935000,45.509998
2016-04-06,45.290001,45.830002,45.27,45.830002,1033000,45.830002
2016-04-05,45.139999,45.259998,44.950001,45.119999,1199600,45.119999
2016-04-04,45.720001,45.720001,45.25,45.34,1615100,45.34
2016-04-01,44.48,45.119999,44.470001,45.099998,944800,45.099998
2016-03-31,45.59,45.59,45.139999,45.18,1152000,45.18
2016-03-30,46.02,46.209999,45.66,45.77,1410400,45.77
2016-03-29,45.23,45.48,45.040001,45.459999,1531000,45.459999
2016-03-28,44.779999,44.970001,44.669998,44.799999,601900,44.799999
2016-03-24,44.599998,44.630001,44.310001,44.630001,1196900,44.630001
2016-03-23,44.66,44.75,44.50,44.599998,1046800,44.599998
2016-03-22,43.970001,44.23,43.950001,44.130001,1068100,44.130001
2016-03-21,44.509998,44.77,44.509998,44.580002,1009000,44.580002
2016-03-18,44.830002,45.259998,44.75,44.959999,1367300,44.959999
2016-03-17,44.50,45.169998,44.349998,45.060001,1391900,45.060001
2016-03-16,44.080002,44.540001,43.889999,44.48,1162700,44.48
2016-03-15,44.360001,44.77,44.310001,44.580002,909500,44.580002
2016-03-14,44.610001,44.720001,44.380001,44.450001,1203800,44.450001
2016-03-11,44.549999,44.66,44.400002,44.630001,1192900,44.630001
2016-03-10,44.950001,45.150002,43.759998,44.139999,1643400,44.139999
2016-03-09,44.439999,44.66,44.259998,44.360001,1096000,44.360001
2016-03-08,43.990002,44.369999,43.889999,44.130001,1058500,44.130001
2016-03-07,43.759998,44.099998,43.639999,43.98,920100,43.98
2016-03-04,44.400002,44.459999,44.23,44.34,1327800,44.34
2016-03-03,43.150002,43.779999,43.150002,43.75,1092700,43.75
2016-03-02,43.41,43.450001,42.950001,43.369999,1474400,43.369999
2016-03-01,43.619999,44.23,43.610001,44.139999,1338900,44.139999
2016-02-29,42.889999,43.299999,42.82,42.82,1100700,42.82
2016-02-26,43.59,43.669998,42.98,43.02,907900,43.02
2016-02-25,43.419998,43.650002,43.349998,43.650002,840200,43.650002
2016-02-24,42.549999,42.990002,42.34,42.950001,1292700,42.950001
2016-02-23,43.41,43.610001,43.049999,43.049999,1024200,43.049999
2016-02-22,43.50,43.84,43.50,43.650002,980200,43.650002
2016-02-19,43.259998,43.689999,43.200001,43.650002,1576000,43.650002
2016-02-18,43.689999,43.77,43.360001,43.470001,1404600,43.470001
2016-02-17,43.560001,43.93,43.41,43.799999,1233500,43.799999
2016-02-16,43.549999,43.549999,42.98,43.380001,1714400,43.380001
2016-02-12,42.380001,43.009998,42.349998,43.00,1724500,43.00
2016-02-11,42.34,42.48,42.00,42.349998,2036400,42.349998
2016-02-10,43.150002,43.16,42.509998,42.560001,1565800,42.560001
2016-02-09,42.169998,42.959999,42.150002,42.73,1511400,42.73
2016-02-08,42.610001,43.18,42.380001,43.029999,2651200,43.029999
2016-02-05,43.549999,43.57,42.990002,43.349998,2285600,43.349998
2016-02-04,43.299999,43.52,43.049999,43.369999,1761000,43.369999
2016-02-03,44.240002,44.349998,43.630001,44.25,2002900,44.25
2016-02-02,44.450001,44.50,44.049999,44.169998,1445800,43.839998
2016-02-01,44.00,44.57,43.959999,44.419998,1621500,44.08813
2016-01-29,43.490002,44.279999,43.369999,44.27,1258300,43.939253
2016-01-28,42.889999,43.200001,42.529999,43.02,1240100,42.698592
2016-01-27,42.93,43.279999,42.52,42.75,1512600,42.430609
2016-01-26,42.040001,42.759998,42.009998,42.630001,1269400,42.311506
2016-01-25,42.419998,42.470001,42.07,42.110001,1381100,41.795391
2016-01-22,41.990002,42.360001,41.849998,42.259998,1439800,41.944268
2016-01-21,41.02,41.439999,40.509998,41.200001,1752400,40.89219
2016-01-20,40.950001,41.080002,39.970001,40.759998,1821800,40.455474
2016-01-19,41.66,41.93,41.439999,41.669998,1929000,41.358676
2016-01-15,40.099998,40.360001,39.860001,40.09,1700700,39.790482
2016-01-14,40.919998,41.330002,40.689999,41.119999,1842000,40.812785
2016-01-13,41.75,41.810001,40.84,40.880001,1557900,40.574581
2016-01-12,41.130001,41.560001,40.720001,41.439999,2066000,41.130394
2016-01-11,40.810001,40.869999,40.240002,40.68,1361800,40.376074
2016-01-08,41.060001,41.060001,40.389999,40.450001,1557500,40.147793
2016-01-07,40.900002,41.240002,40.709999,40.849998,1311100,40.544802
2016-01-06,41.34,41.650002,41.240002,41.50,1457700,41.189948
2016-01-05,41.950001,42.259998,41.779999,42.099998,1277500,41.785463
2016-01-04,42.23,42.27,41.540001,42.200001,1551800,41.884718
2015-12-31,43.59,43.599998,43.119999,43.119999,701300,42.797843
2015-12-30,44.009998,44.049999,43.75,43.75,866800,43.423137
2015-12-29,43.799999,44.040001,43.689999,43.959999,1278700,43.631568
2015-12-28,43.330002,43.490002,43.240002,43.43,648700,43.105529
2015-12-24,43.349998,43.540001,43.290001,43.380001,465200,43.055903
2015-12-23,42.919998,43.380001,42.900002,43.380001,1260100,43.055903
2015-12-22,42.290001,42.549999,41.98,42.50,1434600,42.182476
2015-12-21,42.77,42.779999,41.900002,42.220001,1124600,41.90457
2015-12-18,42.50,42.560001,42.150002,42.150002,1676400,41.835093
2015-12-17,42.959999,43.139999,42.810001,42.82,1257300,42.500085
2015-12-16,42.950001,43.400002,42.740002,43.299999,1257700,42.976499
2015-12-15,42.389999,42.689999,42.380001,42.450001,1533300,42.132851
2015-12-14,41.900002,42.07,41.470001,41.919998,2433800,41.606808
2015-12-11,42.139999,42.290001,41.790001,41.849998,1698900,41.537331
2015-12-10,42.810001,42.880001,42.490002,42.57,1624300,42.251953
2015-12-09,43.040001,43.369999,42.580002,42.860001,1841900,42.539787
2015-12-08,42.709999,42.939999,42.57,42.799999,1454800,42.480234
2015-12-07,43.18,43.380001,43.040001,43.310001,1079900,42.986426
2015-12-04,41.990002,42.869999,41.959999,42.830002,1471000,42.510013
2015-12-03,42.830002,42.84,41.970001,42.110001,1842300,41.795391
2015-12-02,43.189999,43.43,43.02,43.049999,1389500,42.728366
2015-12-01,42.84,42.98,42.669998,42.98,1181200,42.65889
2015-11-30,43.459999,43.509998,42.810001,42.849998,1244900,42.52986
2015-11-27,43.740002,43.849998,43.50,43.57,824500,43.244482
2015-11-25,43.709999,43.77,43.599998,43.689999,1802100,43.363584
2015-11-24,42.580002,43.16,42.57,43.080002,1684200,42.758145
2015-11-23,43.509998,43.639999,43.169998,43.25,1230200,42.926873
2015-11-20,43.419998,43.740002,43.419998,43.529999,2667300,43.20478
2015-11-19,43.279999,43.549999,43.259998,43.459999,1699400,43.135303
2015-11-18,42.580002,43.220001,42.560001,43.189999,2572400,42.86732
2015-11-17,42.91,43.080002,42.720001,42.810001,2441100,42.490162
2015-11-16,42.029999,42.50,42.009998,42.50,1238100,42.182476
2015-11-13,42.029999,42.150002,41.860001,42.00,1193400,41.686212
2015-11-12,42.889999,43.02,42.599998,42.599998,1369700,42.281728
2015-11-11,43.200001,43.540001,43.150002,43.369999,1639600,43.045975
2015-11-10,42.349998,42.889999,42.330002,42.84,1269000,42.519936
2015-11-09,42.73,42.959999,42.599998,42.880001,1066700,42.559638
2015-11-06,43.459999,43.619999,43.009998,43.380001,1017800,43.055903
2015-11-05,44.189999,44.290001,43.970001,44.150002,1071500,43.82015
2015-11-04,44.459999,44.509998,44.23,44.349998,736400,44.018653
2015-11-03,44.200001,44.599998,44.110001,44.57,944200,44.237011
2015-11-02,44.610001,44.740002,44.369999,44.599998,1072100,44.266785
2015-10-30,44.540001,44.830002,44.450001,44.450001,799300,44.117908
2015-10-29,44.889999,45.049999,44.82,44.990002,735300,44.653875
2015-10-28,45.119999,45.23,44.50,44.830002,1382800,44.49507
2015-10-27,45.080002,45.200001,44.919998,44.990002,916800,44.312447
2015-10-26,45.419998,45.549999,45.25,45.299999,633700,44.617776
2015-10-23,45.790001,45.869999,45.299999,45.439999,866800,44.755666
2015-10-22,45.549999,45.91,45.509998,45.720001,1320300,45.031452
2015-10-21,45.439999,45.509998,45.200001,45.209999,983400,44.529131
2015-10-20,45.380001,45.389999,45.139999,45.25,652600,44.568529
2015-10-19,45.310001,45.400002,45.080002,45.290001,690100,44.607928
2015-10-16,44.91,45.240002,44.860001,45.209999,818000,44.529131
2015-10-15,44.740002,45.00,44.57,44.959999,1329300,44.282896
2015-10-14,43.07,43.279999,43.060001,43.110001,760000,42.460759
2015-10-13,42.849998,43.32,42.849998,43.060001,913700,42.411512
2015-10-12,43.060001,43.450001,43.029999,43.200001,821600,42.549403
2015-10-09,42.529999,42.880001,42.470001,42.669998,877100,42.027383
2015-10-08,42.130001,42.91,41.990002,42.900002,798200,42.253922
2015-10-07,42.169998,42.470001,42.040001,42.450001,1068100,41.810698
2015-10-06,42.389999,42.619999,42.34,42.380001,768200,41.741753
2015-10-05,42.189999,42.419998,42.150002,42.41,875400,41.7713
2015-10-02,40.740002,41.619999,40.630001,41.619999,1145000,40.993196
2015-10-01,41.07,41.110001,40.529999,40.84,1257000,40.224945
2015-09-30,40.77,40.810001,40.450001,40.779999,1957500,40.165847
2015-09-29,39.290001,39.82,39.130001,39.77,1002400,39.171059
2015-09-28,39.860001,39.860001,39.27,39.349998,905000,38.757383
2015-09-25,40.07,40.41,39.869999,40.02,1052400,39.417294
2015-09-24,38.950001,39.23,38.599998,39.080002,1241700,38.491452
2015-09-23,39.57,39.599998,39.240002,39.450001,637700,38.855879
2015-09-22,39.66,39.68,39.18,39.549999,1352300,38.954371
2015-09-21,40.900002,40.919998,40.509998,40.669998,586600,40.057503
2015-09-18,40.689999,40.93,40.490002,40.529999,897200,39.919612
2015-09-17,41.040001,41.419998,40.82,41.029999,1336900,40.412082
2015-09-16,40.919998,41.139999,40.75,41.099998,1002300,40.481027
2015-09-15,39.41,39.799999,39.310001,39.740002,1550600,39.141512
2015-09-14,39.34,39.52,39.23,39.349998,1395600,38.757383
2015-09-11,39.470001,39.650002,39.380001,39.599998,1744100,39.003617
2015-09-10,39.75,39.860001,39.580002,39.73,2887500,39.131661
